,international plan,voice mail plan,total day minutes,total eve minutes,total night minutes,total intl minutes,total intl calls,total intl charge,customer service calls,avg duration,churn
4235,-0.33029930840995514,-0.6175686715060882,3.09885719993849,0.3201627851820704,1.0260535972352474,-0.06261804986315425,1.7984285707990395,-0.05925392423226239,-0.39650138503818755,-1.8349048905071152,1
4952,-0.33029930840995514,-0.6175686715060882,1.104723775187485,1.804571807386067,-1.5479156428411185,-0.11763621700606891,-1.0932936157989126,-0.11879881664266725,0.34070064751595436,-0.6118389532855077,1
3896,3.0275570506458265,-0.6175686715060882,-0.36409628735365773,-1.063768940425088,0.9991058036163941,1.370594971469169,-0.5161816084546168,1.3740293088803062,-1.1820433791611653,-0.4573254420571025,1
1916,-0.33029930840995514,-0.6175686715060882,-1.2934154830472187,-1.1542528681536919,-2.1768071013800427,0.2267479367019397,0.21618440313901155,0.22214868906008436,0.34070064751595436,3.104496627736825,0
3314,-0.33029930840995514,-0.6175686715060882,-0.8705970127868625,0.3513687160978978,0.17282561130450902,-0.21902125892100216,-0.7931851944027232,-0.2171129049965637,2.8040192506272312,0.4662445304513144,1
3049,-0.33029930840995514,1.6192531229948277,0.3021241942470141,-0.5036991122355896,0.6634191468635047,0.23640184072698633,-0.186381828063919,0.24196046384482606,1.3521584988023165,0.2068438844591991,1
1246,-0.33029930840995514,-0.6175686715060882,0.5797793211610228,0.11824226146838707,-0.14954971859428196,-1.6677487146312844,-0.1923455433095676,-1.6711723297248777,-1.1820433791611653,-0.6544024746827971,0
5125,-0.33029930840995514,-0.6175686715060882,-0.6007988067754411,-0.45683540086875446,-0.2154174903662731,-1.3801205485937589,-0.880549498670208,-1.3815047751067782,2.1035918297337384,0.21353205371979178,1
5108,-0.33029930840995514,-0.6175686715060882,0.505993885617148,1.1589240545874435,0.8066046430406281,-0.33211559372948085,-0.17877628897771813,-0.333978678146816,-0.052629781649099205,-0.43211874204334927,1
4618,3.0275570506458265,-0.6175686715060882,-0.36872548054557014,-0.3156084889735177,-0.868993152318744,0.3548487860136418,-1.009405436206726,0.35214896603696055,0.5032669095808462,0.3811240476150314,1
580,-0.33029930840995514,1.6192531229948277,1.2721268125203438,-1.193649002197719,1.2263007154871937,0.012276617683084287,-1.009405436206726,0.010308575070158331,1.1020726608545142,-0.607966836397074,0
2118,3.0275570506458265,-0.6175686715060882,-0.6671807494834832,-0.4214847749347859,-0.585794978181091,-1.4532773956124287,-0.1923455433095676,-1.459332215734952,1.863444674193074,1.4849120221823062,1
3233,-0.33029930840995514,1.6192531229948277,-0.14110052596721934,-0.012566812388711046,-0.6063195566106765,-0.24042234135479365,0.20672725997527436,-0.24370352532413397,2.5719412188400486,0.8489062192577885,1
4851,3.0275570506458265,-0.6175686715060882,0.4799930427293996,-0.033386947362577635,0.38870166291022606,0.15552972666385523,-1.2816290965073434,0.151808408965459,-0.16663909127981852,-0.642305237738708,1
4094,3.0275570506458265,-0.6175686715060882,1.2078845198935995,-1.1215749399129487,1.982967377731843,0.5176318455752116,-1.009405436206726,0.5199766455396462,-0.5382972224420454,-0.22513294282865087,1
4918,-0.33029930840995514,-0.6175686715060882,-1.8807028136952488,0.0699544846283322,0.6543408430917785,-0.32695139408038876,-1.3672039850622992,-0.32198848852354645,3.3861887008701936,0.7677602482250736,1
3304,-0.33029930840995514,-0.6175686715060882,-0.11136591742878171,0.5820736995232841,-0.6086621807809671,0.4523885001557098,-1.009405436206726,0.4500412169409663,0.23600715307476744,0.9641554221614856,1
5009,3.0275570506458265,-0.6175686715060882,-0.7464041923066975,0.026539971946890006,-0.6523617748518427,0.31841106502645167,-1.009405436206726,0.31954760305170704,0.34070064751595436,0.8125391816710086,1
3141,-0.33029930840995514,-0.6175686715060882,-1.0360745013164683,0.19567743561620865,-0.3642124365536809,0.6612543451215187,-0.8520327894682473,0.6601511006640655,2.527052227477317,-0.107342710660562,1
239,-0.33029930840995514,-0.6175686715060882,0.5026477703995071,0.8628291949005011,0.39526336577657467,-0.9170990980652899,-1.009405436206726,-0.9164919236357668,1.1020726608545142,-0.7938165502438557,0
1517,-0.33029930840995514,-0.6175686715060882,-1.2952519485415404,1.1504209734219002,-0.38247705176732966,1.084633212777362,-0.6008754897581468,1.082749152144158,1.863444674193074,0.59827931252457,1
2360,-0.33029930840995514,-0.6175686715060882,1.0407321602357957,1.4380127519432984,0.5038311905606222,-0.05921382198986794,0.6247143495875908,-0.05589146055169326,0.34070064751595436,-1.1394066847550435,1
143,-0.33029930840995514,1.6192531229948277,-0.692891266403988,-0.6618011926033517,-0.4614354697920915,-0.8813538782288141,-0.6008754897581468,-0.876771902262656,-0.42067136582260545,1.6571143283739858,0
2631,-0.33029930840995514,-0.6175686715060882,1.1141907800086681,0.5791770297835056,0.3064351454987176,-1.810729593977188,-1.4179353826553052,-1.816812408092952,0.34070064751595436,-1.2719588334072813,0
4393,-0.33029930840995514,1.6192531229948277,-1.7488672489169175,1.0483337424029298,0.5521994674793478,0.5302834985024893,-1.020943214990134,0.5348264566426111,3.3861887008701936,-0.11948325420630534,1
2616,-0.33029930840995514,-0.6175686715060882,-0.45598721763647554,1.9127361671738268,0.17220583485662225,0.2982383763748913,-0.6008754897581468,0.30158873180630663,-1.1820433791611653,-0.6462839394525236,0
808,-0.33029930840995514,1.6192531229948277,1.4355722415149839,-0.7642311411178229,1.6862335004814306,0.2982383763748913,-0.1923455433095676,0.30158873180630663,0.34070064751595436,-1.2659186975177155,0
3676,-0.33029930840995514,1.6192531229948277,0.12962720277813836,-0.9048979890481943,0.4472465534671106,-1.2605998346506584,0.7202343667358992,-1.259159915723991,1.596415530787933,0.9689553524065254,1
2489,-0.33029930840995514,1.6192531229948277,0.9011607826673387,0.9376818495841531,-0.6785711193601865,-0.45241124019110296,-1.4179353826553052,-0.45309167428280395,1.1020726608545142,-0.2915930941126519,0
1722,-0.33029930840995514,-0.6175686715060882,0.6312003550020335,0.766308666492635,-1.0417798422740912,-0.16644948149929534,3.8929539211762245,-0.16181151754665626,0.34070064751595436,-0.6333954814765534,0
1010,-0.33029930840995514,-0.6175686715060882,-0.36783687390902864,-0.6637709993055535,-1.2411498477866147,-0.023468602153392144,-0.1923455433095676,-0.029411446302952504,-1.1820433791611653,1.56745950911318,0
4256,-0.33029930840995514,-0.6175686715060882,-1.1431101290932466,-0.6178828505085835,-0.47923043414008204,0.14921407220722005,-0.2326214680832891,0.1440120170431493,1.177134384482406,0.4499178657264565,1
